,Slot,Home Team,Away Team
0,0,UConn,St. Johns
1,0,Creighton,DePaul
2,1,Xavier,UConn
3,1,St. Johns,Creighton
4,2,DePaul,UConn
5,2,St. Johns,Xavier
6,3,Creighton,Xavier
7,3,DePaul,St. Johns
8,4,Xavier,DePaul
9,4,UConn,Creighton
10,5,DePaul,Creighton
11,5,St. Johns,UConn
12,6,UConn,DePaul
13,6,Xavier,St. Johns
14,7,UConn,Xavier
15,7,Creighton,St. Johns
16,8,Creighton,UConn
17,8,DePaul,Xavier
18,9,Xavier,Creighton
19,9,St. Johns,DePaul
